subj_id,subjcode,electrode,qual_col,row,Name,TextResp,isCorrect,Timing_1,Confidence
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(55),55,basket,lizard,0,7.939,4.0
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(56),56,phone,,0,9.201,
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(57),57,teddybear,,0,10.639,
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(58),58,shoe,shoe,1,,
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(59),59,bottle,,0,13.467,
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(60),60,rabbit,castle,0,7.802,4.0
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(61),61,lamp,bat,0,7.902,3.0
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(62),62,key,street lamp,0,12.371,3.0
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(63),63,scissors,scissors,1,2.451,6.0
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(64),64,candle,,0,574.026,
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(65),65,watch,,0,28.497,
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(66),66,flashlight,canoe,0,3.592,3.0
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(67),67,fan,lobster,0,18.373,3.0
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(68),68,wineglass,birds,0,24.715,3.0
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(69),69,microscope,rabbit,0,6.823,4.0
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(70),70,clock,clock,1,1.533,7.0
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(71),71,lawnmower,dragon,0,31.787,2.0
R_1TCKelAGYh94Ppr,will_test,3,NameResp_TEXT(1),1,pipe,,0,,
R_1TCKelAGYh94Ppr,will_test,3,NameResp_TEXT(2),2,train,,0,,
R_1TCKelAGYh94Ppr,will_test,3,NameResp_TEXT(3),3,balloon,,0,,
R_1TCKelAGYh94Ppr,will_test,3,NameResp_TEXT(4),4,backpack,,0,,
R_1TCKelAGYh94Ppr,will_test,3,NameResp_TEXT(5),5,headphones,,0,,
R_1TCKelAGYh94Ppr,will_test,3,NameResp_TEXT(6),6,stroller,,0,,
R_1TCKelAGYh94Ppr,will_test,3,NameResp_TEXT(7),7,hammer,,0,,
