subj_id,qual_col,Timing_1,row,Name
R_0NWkLPKVngfskaV,Timing_1(5),2.48,5,headphones
R_2tvsWbcRX5R84ap,Timing_1(5),3.562,5,headphones
R_1TCKelAGYh94Ppr,Timing_1(5),,5,headphones
R_5uoQgdmI1psnW97,Timing_1(5),4.01,5,headphones
R_2aVo1rAUKgNJ8VL,Timing_1(5),8.45,5,headphones
R_03dyKKqahwimd1z,Timing_1(5),6.71,5,headphones
R_4I5pqYdhVgOKFKd,Timing_1(5),,5,headphones
R_1EWCq1k7UFauhNj,Timing_1(5),1.765,5,headphones
R_81xh6ldt0VxOPHL,Timing_1(5),2.176,5,headphones
R_9KLkobZ9kYZSzYh,Timing_1(5),1.6840000000000002,5,headphones
R_4T9SzDwjzOtlmrX,Timing_1(5),3.55,5,headphones
R_eFBfDt4acLjjVQh,Timing_1(5),9.604,5,headphones
R_d6Dq6Kyn36MTAJ7,Timing_1(5),5.352,5,headphones
R_3jv8dkv5pkIe4f3,Timing_1(5),15.623,5,headphones
R_9NNGTs03HOOrLhz,Timing_1(5),2.407,5,headphones
R_9QAIH8o5XKYkAFD,Timing_1(5),5.696000000000001,5,headphones
R_8hQIw8oM3sZtlUV,Timing_1(5),5.7379999999999995,5,headphones
R_dbuBKRXlnjouSRD,Timing_1(5),2.244,5,headphones
R_81i04UQTtFxOXlz,Timing_1(5),3.234,5,headphones
R_aflUaQ1v901DTZb,Timing_1(5),4.787,5,headphones
R_8cU5NCG2ysTIeFf,Timing_1(5),2.945,5,headphones
R_9movxfJr3JHx4c5,Timing_1(5),6.54,5,headphones
R_6zZuvVsaXiYicmh,Timing_1(5),2.25,5,headphones
R_7Os34FuyUOKUtAV,Timing_1(5),1.98,5,headphones
R_6tIMcOQsORkQnuB,Timing_1(5),8.375,5,headphones
R_e9a4GNsvoZJ49mZ,Timing_1(5),20.951999999999998,5,headphones
R_cAPsFbVcU6FKEpT,Timing_1(5),2.445,5,headphones
R_cO0dBs5ofX0BOpT,Timing_1(5),1.671,5,headphones
R_6Yb3oRlkWUQ0xkF,Timing_1(5),2.303,5,headphones
R_5A3PjLiZbWfA6Tb,Timing_1(5),11.440999999999999,5,headphones
R_0cuIBoqJYSnYnLT,Timing_1(5),2.1919999999999997,5,headphones
R_9KSFfd62afsuieF,Timing_1(5),9.955,5,headphones
R_02GRIQd5MDRenPf,Timing_1(5),5.334,5,headphones
R_bjv98vU4STp6zQx,Timing_1(5),3.762,5,headphones
R_9KB1XzOy6rP7O1D,Timing_1(5),2.438,5,headphones
R_eX2Q9p9ZqgsYVLv,Timing_1(5),1.5719999999999998,5,headphones
R_eDMsuefXH4Nvbhz,Timing_1(5),,5,headphones
