subj_id,qual_col,Confidence,row,Name
R_02GRIQd5MDRenPf,Confidence(19),2.0,19,cat
R_bjv98vU4STp6zQx,Confidence(19),,19,cat
R_9KB1XzOy6rP7O1D,Confidence(19),4.0,19,cat
R_eX2Q9p9ZqgsYVLv,Confidence(19),6.0,19,cat
R_eDMsuefXH4Nvbhz,Confidence(19),,19,cat
R_cGTSCS88UP99f0x,Confidence(19),,19,cat
R_6ujqTETwTzRExX7,Confidence(19),5.0,19,cat
R_1NfgfYV1GvFsWiN,Confidence(19),,19,cat
R_0TiNGME0OVqJO3H,Confidence(19),,19,cat
R_0ih7r0MXsn7mCSV,Confidence(19),7.0,19,cat
R_aWcEn0nidpymQER,Confidence(19),3.0,19,cat
R_9FZPEV6r7ezLOSN,Confidence(19),5.0,19,cat
R_6zhc96D1g2EpM2h,Confidence(19),7.0,19,cat
R_2a6HPCAFPrB4mIR,Confidence(19),,19,cat
R_8nQqGUmR9MT1CTP,Confidence(20),,20,bowtie
R_0NWkLPKVngfskaV,Confidence(20),8.0,20,bowtie
R_2tvsWbcRX5R84ap,Confidence(20),,20,bowtie
R_1TCKelAGYh94Ppr,Confidence(20),,20,bowtie
R_5uoQgdmI1psnW97,Confidence(20),,20,bowtie
R_2aVo1rAUKgNJ8VL,Confidence(20),,20,bowtie
R_03dyKKqahwimd1z,Confidence(20),6.0,20,bowtie
R_4I5pqYdhVgOKFKd,Confidence(20),,20,bowtie
R_1EWCq1k7UFauhNj,Confidence(20),,20,bowtie
R_81xh6ldt0VxOPHL,Confidence(20),,20,bowtie
R_9KLkobZ9kYZSzYh,Confidence(20),,20,bowtie
R_4T9SzDwjzOtlmrX,Confidence(20),,20,bowtie
R_eFBfDt4acLjjVQh,Confidence(20),,20,bowtie
R_d6Dq6Kyn36MTAJ7,Confidence(20),,20,bowtie
R_3jv8dkv5pkIe4f3,Confidence(20),4.0,20,bowtie
R_9NNGTs03HOOrLhz,Confidence(20),4.0,20,bowtie
R_9QAIH8o5XKYkAFD,Confidence(20),,20,bowtie
R_8hQIw8oM3sZtlUV,Confidence(20),,20,bowtie
R_dbuBKRXlnjouSRD,Confidence(20),5.0,20,bowtie
R_81i04UQTtFxOXlz,Confidence(20),,20,bowtie
R_aflUaQ1v901DTZb,Confidence(20),,20,bowtie
R_8cU5NCG2ysTIeFf,Confidence(20),6.0,20,bowtie
R_9movxfJr3JHx4c5,Confidence(20),,20,bowtie
R_6zZuvVsaXiYicmh,Confidence(20),,20,bowtie
R_7Os34FuyUOKUtAV,Confidence(20),2.0,20,bowtie
R_6tIMcOQsORkQnuB,Confidence(20),,20,bowtie
R_e9a4GNsvoZJ49mZ,Confidence(20),2.0,20,bowtie
R_cAPsFbVcU6FKEpT,Confidence(20),5.0,20,bowtie
R_cO0dBs5ofX0BOpT,Confidence(20),5.0,20,bowtie
R_6Yb3oRlkWUQ0xkF,Confidence(20),4.0,20,bowtie
R_5A3PjLiZbWfA6Tb,Confidence(20),,20,bowtie
R_0cuIBoqJYSnYnLT,Confidence(20),,20,bowtie
R_9KSFfd62afsuieF,Confidence(20),4.0,20,bowtie
R_02GRIQd5MDRenPf,Confidence(20),2.0,20,bowtie
R_bjv98vU4STp6zQx,Confidence(20),3.0,20,bowtie
R_9KB1XzOy6rP7O1D,Confidence(20),3.0,20,bowtie
R_eX2Q9p9ZqgsYVLv,Confidence(20),,20,bowtie
R_eDMsuefXH4Nvbhz,Confidence(20),,20,bowtie
R_cGTSCS88UP99f0x,Confidence(20),5.0,20,bowtie
R_6ujqTETwTzRExX7,Confidence(20),5.0,20,bowtie
R_1NfgfYV1GvFsWiN,Confidence(20),5.0,20,bowtie
R_0TiNGME0OVqJO3H,Confidence(20),2.0,20,bowtie
R_0ih7r0MXsn7mCSV,Confidence(20),4.0,20,bowtie
R_aWcEn0nidpymQER,Confidence(20),2.0,20,bowtie
R_9FZPEV6r7ezLOSN,Confidence(20),,20,bowtie
R_6zhc96D1g2EpM2h,Confidence(20),2.0,20,bowtie
R_2a6HPCAFPrB4mIR,Confidence(20),,20,bowtie
R_8nQqGUmR9MT1CTP,Confidence(21),8.0,21,knife
R_0NWkLPKVngfskaV,Confidence(21),2.0,21,knife
R_2tvsWbcRX5R84ap,Confidence(21),4.0,21,knife
R_1TCKelAGYh94Ppr,Confidence(21),,21,knife
R_5uoQgdmI1psnW97,Confidence(21),,21,knife
R_2aVo1rAUKgNJ8VL,Confidence(21),,21,knife
R_03dyKKqahwimd1z,Confidence(21),7.0,21,knife
R_4I5pqYdhVgOKFKd,Confidence(21),,21,knife
R_1EWCq1k7UFauhNj,Confidence(21),,21,knife
R_81xh6ldt0VxOPHL,Confidence(21),,21,knife
R_9KLkobZ9kYZSzYh,Confidence(21),,21,knife
R_4T9SzDwjzOtlmrX,Confidence(21),3.0,21,knife
R_eFBfDt4acLjjVQh,Confidence(21),3.0,21,knife
R_d6Dq6Kyn36MTAJ7,Confidence(21),4.0,21,knife
R_3jv8dkv5pkIe4f3,Confidence(21),3.0,21,knife
R_9NNGTs03HOOrLhz,Confidence(21),,21,knife
R_9QAIH8o5XKYkAFD,Confidence(21),,21,knife
R_8hQIw8oM3sZtlUV,Confidence(21),5.0,21,knife
R_dbuBKRXlnjouSRD,Confidence(21),5.0,21,knife
R_81i04UQTtFxOXlz,Confidence(21),6.0,21,knife
R_aflUaQ1v901DTZb,Confidence(21),5.0,21,knife
R_8cU5NCG2ysTIeFf,Confidence(21),,21,knife
R_9movxfJr3JHx4c5,Confidence(21),4.0,21,knife
R_6zZuvVsaXiYicmh,Confidence(21),8.0,21,knife
R_7Os34FuyUOKUtAV,Confidence(21),2.0,21,knife
R_6tIMcOQsORkQnuB,Confidence(21),,21,knife
R_e9a4GNsvoZJ49mZ,Confidence(21),,21,knife
R_cAPsFbVcU6FKEpT,Confidence(21),,21,knife
R_cO0dBs5ofX0BOpT,Confidence(21),3.0,21,knife
R_6Yb3oRlkWUQ0xkF,Confidence(21),6.0,21,knife
R_5A3PjLiZbWfA6Tb,Confidence(21),6.0,21,knife
R_0cuIBoqJYSnYnLT,Confidence(21),3.0,21,knife
R_9KSFfd62afsuieF,Confidence(21),4.0,21,knife
R_02GRIQd5MDRenPf,Confidence(21),2.0,21,knife
R_bjv98vU4STp6zQx,Confidence(21),2.0,21,knife
R_9KB1XzOy6rP7O1D,Confidence(21),6.0,21,knife
R_eX2Q9p9ZqgsYVLv,Confidence(21),5.0,21,knife
R_eDMsuefXH4Nvbhz,Confidence(21),,21,knife
R_cGTSCS88UP99f0x,Confidence(21),,21,knife
R_6ujqTETwTzRExX7,Confidence(21),5.0,21,knife
R_1NfgfYV1GvFsWiN,Confidence(21),,21,knife
R_0TiNGME0OVqJO3H,Confidence(21),,21,knife
R_0ih7r0MXsn7mCSV,Confidence(21),,21,knife
R_aWcEn0nidpymQER,Confidence(21),7.0,21,knife
R_9FZPEV6r7ezLOSN,Confidence(21),5.0,21,knife
R_6zhc96D1g2EpM2h,Confidence(21),6.0,21,knife
R_2a6HPCAFPrB4mIR,Confidence(21),,21,knife
R_8nQqGUmR9MT1CTP,Confidence(22),,22,binoculars
R_0NWkLPKVngfskaV,Confidence(22),,22,binoculars
R_2tvsWbcRX5R84ap,Confidence(22),4.0,22,binoculars
